"Water Year,Day,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep"
",,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values"
"1989,01,,,,,,,,,,,,0.0"
"1989,02,,,,,,,,,,,,0.0"
"1989,03,,,,,,,,,,,,0.0"
"1989,04,,,,,,,,,,,,0.0"
"1989,05,,,,,,,,,,,,0.0"
"1989,06,,,,,,,,,,,,0.0"
"1989,07,,,,,,,,,,,,0.0"
"1989,08,,,,,,,,,,,,0.0"
"1989,09,,,,,,,,,,,,0.0"
"1989,10,,,,,,,,,,,,0.0"
"1989,11,,,,,,,,,,,,0.0"
"1989,12,,,,,,,,,,,,0.0"
"1989,13,,,,,,,,,,,,0.0"
"1989,14,,,,,,,,,,,,0.0"
"1989,15,,,,,,,,,,,,0.0"
"1989,16,,,,,,,,,,,,0.0"
"1989,17,,,,,,,,,,,,0.0"
"1989,18,,,,,,,,,,,,0.0"
"1989,19,,,,,,,,,,,,0.0"
"1989,20,,,,,,,,,,,,0.0"
"1989,21,,,,,,,,,,,,0.0"
"1989,22,,,,,,,,,,,,0.0"
"1989,23,,,,,,,,,,,0.0,0.0"
"1989,24,,,,,,,,,,,0.0,0.0"
"1989,25,,,,,,,,,,,0.0,0.0"
"1989,26,,,,,,,,,,,0.0,0.0"
"1989,27,,,,,,,,,,,0.0,0.0"
"1989,28,,,,,,,,,,,0.0,0.0"
"1989,29,,,,,,,,,,,0.0,0.0"
"1989,30,,,,,,,,,,,0.0,0.0"
"1989,31,,,,,,,,,,,0.0,"
"1990,01,0.0,1.9,9.4,11.0,19.2,25.4,32.7,34.0,11.1,0.0,0.0,0.0"
"1990,02,0.0,1.9,9.4,11.0,19.6,25.5,32.7,34.0,11.3,0.0,0.0,0.0"
"1990,03,0.0,2.0,9.4,11.9,19.6,25.7,32.4,34.0,10.2,0.0,0.0,0.0"
"1990,04,0.0,2.0,9.4,11.9,19.6,26.1,32.2,34.0,7.5,0.0,0.0,0.0"
"1990,05,0.0,2.0,9.4,12.1,19.6,26.8,32.2,33.9,4.2,0.0,0.0,0.0"
"1990,06,0.0,2.0,9.4,12.5,19.6,27.9,32.1,33.1,2.7,0.0,0.0,0.0"
"1990,07,0.0,2.0,9.8,12.6,20.1,28.3,32.0,31.9,1.7,0.0,0.0,0.0"
"1990,08,0.0,2.0,9.8,13.0,20.5,28.3,32.1,31.0,1.3,0.0,0.0,0.0"
"1990,09,0.0,2.0,9.8,13.7,20.7,28.6,32.9,30.7,0.2,0.0,0.0,0.0"
"1990,10,0.0,2.0,9.8,13.8,20.9,29.1,33.1,30.7,0.0,0.0,0.0,0.0"
"1990,11,0.0,2.0,9.9,13.8,21.3,29.4,33.3,29.8,0.0,0.0,0.0,0.0"
"1990,12,0.0,2.0,9.9,13.8,21.4,30.5,33.2,29.2,0.0,0.0,0.0,0.0"
"1990,13,0.0,2.0,9.9,13.8,22.4,30.6,33.0,28.8,0.0,0.0,0.0,0.0"
"1990,14,0.0,2.0,10.0,15.2,22.5,30.9,32.7,28.5,0.0,0.0,0.0,0.0"
"1990,15,0.0,2.0,10.0,15.9,22.5,31.7,32.5,28.2,0.0,0.0,0.0,0.0"
"1990,16,0.0,2.0,10.1,16.4,22.6,32.0,32.1,27.7,0.0,0.0,0.0,0.0"
"1990,17,0.0,2.0,10.6,16.7,23.4,32.0,31.5,27.4,0.0,0.0,0.0,0.0"
"1990,18,0.0,2.0,10.9,16.7,24.7,32.0,31.5,26.1,0.0,0.0,0.0,0.0"
"1990,19,0.0,2.0,10.9,16.7,25.2,32.0,31.5,25.1,0.0,0.0,0.0,0.0"
"1990,20,0.0,2.0,10.9,16.7,25.2,32.0,31.3,23.9,0.0,0.0,0.0,0.0"
"1990,21,0.0,2.0,10.9,16.7,25.2,32.0,31.0,23.5,0.0,0.0,0.0,0.0"
"1990,22,0.0,2.0,10.9,16.7,25.3,32.0,31.0,22.0,0.0,0.0,0.0,0.0"
"1990,23,0.0,2.0,11.0,16.7,25.4,32.0,31.0,19.6,0.0,0.0,0.0,0.0"
"1990,24,0.0,2.0,11.0,16.9,25.4,32.0,31.3,17.3,0.0,0.0,0.0,0.0"
"1990,25,0.0,2.9,11.0,17.1,25.4,32.0,31.7,17.2,0.0,0.0,0.0,0.0"
"1990,26,0.5,3.8,11.0,17.2,25.4,32.0,32.0,16.5,0.0,0.0,0.0,0.0"
"1990,27,0.8,8.7,11.0,17.4,25.4,32.0,32.5,15.5,0.0,0.0,0.0,0.0"
"1990,28,1.4,9.4,11.0,17.6,25.4,32.4,33.0,13.7,0.0,0.0,0.0,0.0"
"1990,29,1.8,9.4,11.0,17.9,,32.6,33.7,12.9,0.0,0.0,0.0,0.0"
"1990,30,1.8,9.4,11.0,18.4,,32.6,33.8,11.8,0.0,0.0,0.0,0.0"
"1990,31,1.9,,11.0,18.9,,32.7,,11.8,,0.0,0.0,"
"1991,01,0.0,0.0,5.5,9.8,16.0,21.5,30.9,38.9,29.7,0.0,0.0,0.0"
"1991,02,0.0,0.3,5.5,9.8,16.0,22.9,30.9,39.0,28.8,0.0,0.0,0.0"
"1991,03,0.0,0.5,6.1,9.8,16.0,23.9,30.9,39.2,28.5,0.0,0.0,0.0"
"1991,04,0.0,0.5,6.1,9.9,16.0,24.3,30.9,40.0,26.5,0.0,0.0,0.0"
"1991,05,0.0,1.0,6.1,10.0,16.0,24.9,30.6,40.0,24.4,0.0,0.0,0.0"
"1991,06,0.0,2.0,6.1,10.0,16.0,25.4,30.1,40.0,22.3,0.0,0.0,0.0"
"1991,07,0.0,2.0,6.1,10.0,16.0,25.7,29.5,40.0,20.0,0.0,0.0,0.0"
"1991,08,0.0,2.1,6.1,10.4,16.0,25.8,29.8,39.8,17.4,0.0,0.0,0.0"
"1991,09,0.0,2.2,6.1,10.4,16.0,25.9,29.8,39.6,14.7,0.0,0.0,0.0"
"1991,10,0.0,2.3,6.1,10.5,16.0,25.9,30.6,39.0,12.2,0.0,0.0,0.0"
"1991,11,0.0,2.3,6.1,10.5,16.0,25.9,31.6,39.3,9.5,0.0,0.0,0.0"
"1991,12,0.0,2.3,6.1,10.6,16.0,27.1,31.9,39.3,6.6,0.0,0.0,0.0"
"1991,13,0.0,2.3,6.1,11.0,16.3,27.1,31.9,39.3,3.6,0.0,0.0,0.0"
"1991,14,0.0,2.3,7.4,11.4,17.5,27.2,32.6,39.3,2.1,0.0,0.0,0.0"
"1991,15,0.0,2.3,7.4,12.1,17.6,27.3,33.0,39.8,0.8,0.0,0.0,0.0"
"1991,16,0.0,2.1,7.4,14.9,17.7,27.4,32.3,39.8,0.5,0.0,0.0,0.0"
"1991,17,0.0,2.0,7.7,15.6,19.1,27.4,32.1,39.8,0.2,0.0,0.0,0.0"
"1991,18,0.0,2.0,7.9,15.6,20.3,27.4,32.1,39.2,0.0,0.0,0.0,0.0"
"1991,19,0.9,2.0,8.3,15.6,20.3,27.5,32.1,39.0,0.0,0.0,0.0,0.0"
"1991,20,1.0,2.4,9.4,15.6,20.3,28.4,32.1,38.6,0.0,0.0,0.0,0.0"
"1991,21,1.0,4.8,9.4,15.6,20.3,29.0,32.3,37.8,0.0,0.0,0.0,0.0"
"1991,22,1.0,4.9,9.4,15.7,20.3,29.5,32.5,36.8,0.0,0.0,0.0,0.0"
"1991,23,1.0,4.9,9.4,15.9,20.3,29.6,32.7,36.4,0.0,0.0,0.0,0.0"
"1991,24,1.0,4.9,9.4,15.9,20.3,29.6,32.9,36.2,0.0,0.0,0.0,0.0"
"1991,25,1.0,4.9,9.4,15.9,20.3,29.7,33.5,35.0,0.0,0.0,0.0,0.0"
"1991,26,0.8,4.9,9.4,15.9,20.3,29.9,35.3,33.8,0.0,0.0,0.0,0.0"
"1991,27,0.3,5.2,9.4,15.9,20.3,30.0,36.5,32.5,0.0,0.0,0.0,0.0"
"1991,28,0.1,5.3,9.5,15.9,20.4,30.2,37.6,31.6,0.0,0.0,0.0,0.0"
"1991,29,0.0,5.4,9.5,16.0,,30.5,38.0,30.3,0.0,0.0,0.0,0.0"
"1991,30,0.0,5.5,9.6,16.0,,30.8,38.9,28.9,0.0,0.0,0.0,0.0"
"1991,31,0.0,,9.8,16.0,,30.8,,29.2,,0.0,0.0,"
"1992,01,0.0,2.9,9.3,10.8,12.4,18.7,23.0,13.4,0.0,0.0,0.0,0.0"
"1992,02,0.0,3.4,9.4,10.9,12.4,18.7,23.0,13.1,0.0,0.0,0.0,0.0"
"1992,03,0.0,3.4,10.4,11.0,12.4,18.7,22.8,12.2,0.0,0.0,0.0,0.0"
"1992,04,0.0,3.6,10.4,11.2,12.4,18.7,22.5,10.9,0.0,0.0,0.0,0.0"
"1992,05,0.0,3.7,10.4,11.3,12.4,19.8,22.4,9.7,0.0,0.0,0.0,0.0"
"1992,06,0.0,3.9,10.4,11.3,12.4,19.8,22.3,8.5,0.0,0.0,0.0,0.0"
"1992,07,0.0,4.1,10.4,11.5,12.4,20.0,22.2,7.5,0.0,0.0,0.0,0.0"
"1992,08,0.0,4.1,10.4,11.7,12.4,20.1,22.1,6.8,0.0,0.0,0.0,0.0"
"1992,09,0.0,4.1,10.4,11.8,12.5,20.1,21.9,5.4,0.0,0.0,0.0,0.0"
"1992,10,0.0,4.1,10.4,11.8,12.5,20.1,21.6,6.0,0.0,0.0,0.0,0.0"
