#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resource Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: http://www.wcc.nrcs.usda.gov/report_generator/report_generator_landing.htm
# 
# Support Contact: nrcsprod@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 366: Brighton, UT
# 
# Data items provided in this file:
#
# Element Name                Value Type                Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value                     None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Water Equivalent       Median (1981-2010)        None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Water Equivalent       % of median (1981-2010)   None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth                  Value                     None           Instantaneous - Start of Day  N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# Precipitation Accumulation  Value                     None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Precipitation Accumulation  Average (1981-2010)       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Precipitation Accumulation  % of average (1981-2010)  None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value                     None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value                     None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value                     None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Brighton (366) 
# Utah  SNOTEL Site - 8766 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: Oct 22, 2018 8:11:38 AM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Median Snow Water Equivalent (1981-2010) (in) Start of Day Values,Snow Water Equivalent % of Median (1981-2010),Snow Depth (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Average Precipitation Accumulation (1981-2010) (in) Start of Day Values,Precipitation Accumulation % of Average (1981-2010),Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF)
1986-09-24,0.0,0.0,,,0.0,40.5,0,,,
1986-09-25,0.5,0.0,,,0.9,40.5,2,,,
1986-09-26,0.7,0.0,,,0.9,40.6,2,,,
1986-09-27,1.1,0.0,,,1.2,40.6,3,,,
1986-09-28,1.6,0.0,,,1.8,40.6,4,,,
1986-09-29,1.5,0.0,,,1.8,40.6,4,,,
1986-09-30,1.4,0.0,,,1.8,40.8,4,,,
1986-10-01,3.2,0.0,,,0.0,0.0,,,,
1986-10-02,3.7,0.0,,,1.0,0.1,1000,,,
1986-10-03,4.2,0.0,,,1.3,0.2,650,,,
1986-10-04,4.1,0.0,,,1.4,0.3,467,,,
1986-10-05,4.1,0.0,,,1.4,0.4,350,,,
1986-10-06,4.1,0.0,,,1.5,0.6,250,,,
1986-10-07,4.0,0.0,,,1.5,0.7,214,,,
1986-10-08,3.9,0.0,,,1.5,0.7,214,,,
1986-10-09,3.7,0.0,,,1.5,0.8,188,,,
1986-10-10,3.5,0.0,,,1.5,0.8,188,,,
1986-10-11,3.3,0.0,,,1.5,0.9,167,,,
1986-10-12,3.2,0.0,,,1.5,1.0,150,,,
1986-10-13,3.2,0.0,,,1.7,1.1,155,,,
1986-10-14,2.7,0.0,,,1.7,1.1,155,,,
1986-10-15,3.1,0.0,,,1.7,1.2,142,,,
1986-10-16,3.1,0.0,,,1.7,1.3,131,,,
1986-10-17,2.9,0.0,,,1.7,1.4,121,,,
1986-10-18,3.2,0.0,,,2.1,1.5,140,,,
1986-10-19,3.5,0.0,,,2.6,1.7,153,,,
1986-10-20,3.7,0.0,,,2.9,1.8,161,,,
1986-10-21,3.7,0.0,,,3.0,2.0,150,,,
1986-10-22,3.6,0.0,,,3.1,2.1,148,,,
1986-10-23,3.6,0.0,,,3.1,2.1,148,,,
1986-10-24,3.6,0.0,,,3.1,2.3,135,,,
1986-10-25,3.6,0.0,,,3.1,2.4,129,,,
1986-10-26,3.6,0.0,,,3.1,2.5,124,,,
1986-10-27,3.6,0.0,,,3.1,2.6,119,,,
1986-10-28,3.5,0.1,3500,,3.1,2.7,115,,,
1986-10-29,3.5,0.2,1750,,3.1,2.8,111,,,
1986-10-30,3.5,0.2,1750,,3.2,2.9,110,,,
1986-10-31,4.1,0.4,1025,,3.2,3.1,103,,,
1986-11-01,4.2,0.5,840,,3.3,3.3,100,,,
1986-11-02,3.7,0.6,617,,3.4,3.5,97,,,
1986-11-03,2.7,0.7,386,,3.5,3.7,95,,,
1986-11-04,2.3,0.8,288,,3.5,3.8,92,,,
1986-11-05,1.8,1.0,180,,3.5,3.9,90,,,
1986-11-06,2.4,1.1,218,,3.6,4.1,88,,,
1986-11-07,3.2,1.3,246,,4.1,4.2,98,,,
1986-11-08,4.4,1.4,314,,5.1,4.3,119,,,
1986-11-09,4.9,1.6,306,,5.4,4.5,120,,,
1986-11-10,5.3,1.7,312,,5.7,4.7,121,,,
1986-11-11,5.5,1.9,289,,5.8,4.8,121,,,
1986-11-12,5.7,2.0,285,,5.8,4.9,118,,,
1986-11-13,6.0,2.2,273,,5.8,5.0,116,,,
1986-11-14,6.2,2.3,270,,6.0,5.2,115,,,
1986-11-15,6.3,2.4,263,,6.0,5.4,111,,,
1986-11-16,6.5,2.5,260,,6.0,5.4,111,,,
1986-11-17,6.5,2.7,241,,6.0,5.5,109,,,
